user_id,name,email,signup_date,city,state
9d33600d-d1b9-4abc-b23e-6ba5bc36c0f1,Ester Ribeiro,gustavo-henriquelima@example.org,2025-08-01,Ferreira da Praia,PI
a69be58e-b45b-4e54-a53c-4e391a5ff971,Srta. Joana Cirino,da-cunhahenry-gabriel@example.net,2023-11-18,Castro,MS
1f7028cf-896a-43d4-acb3-afc545174ae7,Leonardo Barros,siqueiramelina@example.org,2025-02-05,da Cruz,CE
c6a81df9-a732-420d-8a0d-bc9b492131af,Emanuelly Cassiano,maria-juliacamara@example.net,2024-11-23,Camargo da Mata,RJ
f7006b0f-b3ad-42a4-a39a-87e0f20db50a,Brenda Aragão,,2023-12-08,Rios,AM
7933608c-fe8e-435a-9c8c-8dc40ef4eb68,Noah Correia,ana-juliarios@example.org,2025-07-31,Sales,PI
67af5697-fdff-4ef4-b266-12fad1d2c5d0,Ana Júlia Siqueira,lorenzo49@example.org,2024-08-27,Brito,ES
4cf3056e-7c32-4408-a7d4-45e30dc35e51,Ravi Lucca Porto,dmoraes@example.org,2024-05-18,Moura Alegre,RN
c8df5bee-faa2-4ea3-9ce4-5c4d2ef6380a,Heitor Novaes,pastorrenan@example.org,2023-10-26,Pinto,SP
878ba8ad-2162-45f9-8333-fd3a9e8fbe61,Dr. Theodoro Vieira,ida-costa@example.org,2024-06-23,Silva,CE
1996a05e-e89f-486c-8172-68c99d4cd184,Gustavo da Cruz,leonardo72@example.org,2023-10-19,Casa Grande,MS
026035ee-c61d-412d-b026-3dab5eec7674,Isabella Pastor,sabrina12@example.com,2024-11-29,Moreira de Goiás,PR
,Luiz Miguel Vasconcelos,breno76@example.org,2024-07-17,Nogueira de Ferreira,PR
48c3a878-f5c0-4316-baab-a76db6005426,Sra. Lívia Pinto,ana-luizacirino@example.net,2023-09-23,Ribeiro do Campo,SE
cc4f7f01-00d0-40c7-b513-9736af05c270,Raquel Cavalcante,luisa52@example.net,2025-08-11,Novais de Goiás,RO
b4b27bfc-3cb9-4890-a8be-33a48b77fe88,Benjamim Sousa,marianenovais@example.com,2023-09-19,Rezende da Serra,PA
4ed38260-9dd7-457a-8c10-df11c50b1eb6,Eduarda Pinto,rochamaysa@example.com,2024-06-22,Caldeira,TO
,Benjamim Marques,limaallana@example.org,2024-05-15,Duarte de Porto,TO
7fa19057-4fb9-4440-90a9-35b67cccc8ff,Fernanda Brito,nicolasrios@example.com,2024-05-29,Gonçalves de Goiás,PB
910c7b72-0559-4c57-a429-c0549153e43f,Sara Lopes,valentinasales@example.net,2024-10-15,da Cunha de Sá,PE
191ee851-b367-47c6-b86f-52accccfa621,Antony Barbosa,rezendemaria-cecilia@example.com,2024-05-19,Aparecida das Flores,RS
920850ba-57c9-41d9-8c14-13ce39f404f2,Yuri Jesus,da-rosadaniel@example.net,2024-07-16,Pires,RN
dddeb048-643e-4f80-bd8e-dd56f792bb0e,Marcelo Sousa,gomesleonardo@example.net,2025-03-13,Garcia,AM
a92df9a0-d1a4-4ee9-8d98-896270ff8de2,Lunna Souza,gabrielly11@example.org,2024-09-28,Aragão,AM
4e03f51d-7867-48f6-b21a-4e8425cb4bd5,Dr. Luiz Fernando Novaes,mariahcarvalho@example.com,2023-10-16,Moraes,ES
16474250-d012-4829-b7ac-a47ef86c8c0f,Milena Rocha,gabriellysantos@example.com,2024-01-13,Caldeira de Cunha,CE
51b18e2d-9cc3-40ea-98da-1641b913269f,Dr. Raul Aragão,imarques@example.org,2024-07-04,Cirino dos Dourados,SC
31658362-dba8-437c-81fd-5a76cd3d079f,Lara Moraes,vmarques@example.net,2024-04-29,Araújo,RN
21cf7465-5c14-477c-9f0e-d10b53e71421,Mariah Leão,ccasa-grande@example.com,2023-12-16,Guerra,CE
18e6365b-4c19-4a2b-87d9-bd6025033bd3,Enrico Jesus,ycamargo@example.net,2025-07-13,Azevedo,SE
3b546b1d-7f36-489b-a3c6-58f3277d8431,Cecilia Araújo,zcampos@example.net,2024-08-21,Camargo de Correia,AC
f4cffe57-4d75-4453-9946-9c51305e8899,Sr. Isaac Costa,ravi-luccanovaes@example.com,2025-06-17,Fogaça Verde,RS
e9adb871-fbf7-4da3-9171-e4aa3d53ecf7,Sra. Ágatha Pimenta,lorena70@example.org,2024-11-01,Azevedo de Mendes,MS
2556ac96-d90f-44e4-8906-3547be2b6a18,Juliana Ferreira,gomesdaniela@example.net,2025-06-19,Nunes do Norte,PA
3caec910-924f-4bd7-a183-d29285081b64,Mathias Peixoto,apolloalves@example.com,2025-03-20,Monteiro,SE
07da0b5e-28fc-4472-8016-5b6d65a26ed6,Heloisa Casa Grande,yasminbarros@example.com,2025-08-07,Brito de Minas,MA
87a68e61-70f8-41e1-b30b-35f1f29a9eb5,Sr. Bernardo Brito,allanaviana@example.org,2024-08-04,Fernandes do Sul,ES
322a1702-48ad-4076-abbd-4b59139d2d18,Ana Cecília Rocha,rhavimacedo@example.net,2024-12-28,Costela de Pinto,PI
e7cd159e-7466-4e3f-88af-39de59a1e7cb,João Guilherme Barros,cirinomaria-isis@example.com,2025-04-04,Mendes,PA
23189b14-d167-40b9-adf2-8d8b5104cbb6,Antony Cassiano,melissa81@example.net,2024-06-24,Pastor dos Dourados,AP
5d063483-01d3-4436-995c-93c3b1c78f9d,Maitê da Cruz,da-costaisabel@example.org,2024-08-31,Vieira,PE
5e7c834e-3494-4610-9303-b4079f4e2429,Caroline da Cruz,wmacedo@example.net,2024-02-18,Pimenta Verde,AP
