user_id,name,email,signup_date,city,state
8dde0954-affa-4277-9115-9cb152ae84aa,Leandro Oliveira,andre19@example.org,2024-04-18,da Costa,RJ
a5119220-aac7-4a08-ab4e-b8d99c0af012,Augusto Vieira,salesagatha@example.org,2025-07-18,Vieira do Amparo,SC
19187b3c-2dcc-441a-b8ee-5243adf069d9,Pedro Henrique Aparecida,monteirofernando@example.com,2024-02-25,Moura da Praia,GO
0539e934-e99e-43db-87af-b81381ed6228,Aylla Moraes,ryan83@example.com,2024-11-14,Cassiano da Prata,PA
e5d7bb8f-620a-4993-8dc9-a802b4a40133,Sophia Gonçalves,fernandaaraujo@example.net,2024-07-08,Alves,BA
6e75f347-2634-4e2d-a1e1-f0e05df05699,Dra. Helena da Conceição,ana-sophiagoncalves@example.com,2025-02-23,Casa Grande Grande,RN
a12a6e6d-ade7-4deb-807b-e841526c7799,Dra. Ana Liz Costela,aragaostella@example.net,2023-09-16,Ferreira,SC
d8c95145-bd94-4deb-96e5-6c04077346bd,Paulo Vargas,cpeixoto@example.net,2023-11-30,Rocha,AL
5ac81494-7466-4378-ae32-1630910cd91b,Fernanda Lima,,2023-10-23,Garcia,PI
d39c4590-c275-44a6-bb40-e6ddf2e5a5af,Sr. Cauã Gomes,fariasantonella@example.com,2023-10-18,Nunes,AP
0102c41e-a6b6-4245-b76e-f4eede072dba,Sr. Vinicius Barros,,2025-05-09,Correia de Marques,RN
418d8905-639f-421d-9aba-1a3b9eb5e4ab,Alícia Caldeira,cassianoeduardo@example.net,2023-09-11,Cardoso,RS
6c88caf2-39ca-41ba-9346-ce26f407e5b8,Fernanda das Neves,icirino@example.com,2025-03-25,Araújo da Serra,BA
f6a2a1ae-5028-4f29-8e30-3425076e0814,Júlia das Neves,carvalhovinicius@example.org,2024-01-05,da Cruz,PB
76a4b1bf-8280-45df-9dd2-def9dd2a7ce2,Rhavi Caldeira,mathias41@example.org,2024-02-03,Souza,PI
3bd54e78-b900-41f4-8e48-02cace784eef,Dr. Lorenzo Pinto,yda-rocha@example.net,2024-03-15,Andrade de Minas,SP
9804e6c1-7c57-40db-baeb-6de9beec7a87,Benjamin Abreu,da-cunhajoao-pedro@example.org,2024-11-20,Melo,RR
f89b241e-2905-4015-8fcd-f96c52056e39,Matteo Mendonça,miguelmelo@example.org,2025-06-08,Silveira,RO
50ae4b23-03f3-4cdd-b7de-ba245bf253ff,Dr. Kaique Rodrigues,martinsluiz-fernando@example.org,2023-10-29,Pereira de Gomes,RO
