user_id,name,email,signup_date,city,state
f3ad6c98-4827-4fdc-b0a6-c8d6a1b972db,Catarina Dias,dfernandes@example.net,2024-04-28,Gonçalves Grande,PE
24236925-9938-4bc2-af08-bd345bc433e6,Laís Ferreira,pedro-lucas47@example.net,2025-05-07,Macedo do Sul,AP
f685c8e3-59a8-4711-8126-e9864185ec99,Henry Sampaio,luaramendonca@example.org,2024-05-09,Gomes Paulista,TO
a23e9891-87e3-4216-a48a-41f6704983fd,Ana Beatriz Aragão,cavalcantevitor-gabriel@example.net,2024-07-04,Camargo,GO
a944ad2d-5cf4-45ed-9355-8e8e09665e64,Manuella Costa,loliveira@example.net,2024-10-12,da Costa,PB
5daf4e1c-b652-4cef-bc2a-bc575b42081e,Sr. Enzo Melo,samuel15@example.org,2025-01-27,Pinto do Amparo,SP
,Anthony Cardoso,rhavialbuquerque@example.org,2024-04-01,Vieira,PI
2519b6ff-9b8a-461c-8f8e-e85165e050eb,Sra. Isabela Gonçalves,marquesmariane@example.com,2024-01-06,Andrade do Norte,SC
6f067fd4-0b50-4844-9f7a-66f9bbbcb606,Marcela Porto,isis72@example.com,2024-08-24,Sousa,BA
b361fdff-8efa-4f6d-830e-60c4372893dd,Maria Helena Fernandes,theodororodrigues@example.org,2025-08-17,Duarte Alegre,MS
3d6d3ab4-5a4d-418e-a12d-93069e9e2740,Isabella da Costa,goncalvestheo@example.net,2024-01-10,da Rosa,BA
,Brenda Pinto,davi-luiz66@example.net,2024-07-02,Câmara,PI
36643c68-8f8d-4e5f-91b8-ad555332dd2e,Luiz Miguel Correia,garciaenzo-gabriel@example.com,2024-08-10,da Cunha,DF
bcc93064-5bde-4ac1-b10c-89aa6599035d,Agatha Câmara,britoerick@example.org,2024-05-17,Araújo,DF
36fbff0c-9392-4461-a683-25b9aa8cc1f1,José Pedro Câmara,amandadias@example.net,2024-02-02,Carvalho das Flores,PE
91c9a783-026a-4b7f-9c08-b70d3e9c9a27,Sr. Dom Santos,unascimento@example.org,2025-03-11,Brito,AM
56fe670c-654c-4146-817c-8f540991d93d,Sr. Cauê Macedo,osilveira@example.net,2024-11-18,Pereira Verde,MT
